district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,59704.0,210544.0,630655.0,GOP,-150840.0,-55.81539918889317
1,124966.0,223378.0,741673.0,GOP,-98412.0,-28.251383689686055
2,92078.0,245202.0,805400.0,GOP,-153124.0,-45.3996679316888
3,264150.0,119950.0,898672.0,Dem,144200.0,37.542306690965894
4,187544.0,53183.0,827301.0,Dem,134361.0,55.814678037777234
5,170842.0,239333.0,907359.0,GOP,-68491.0,-16.697994758334858
6,160609.0,28411.0,565481.0,Dem,132198.0,69.93863083271611
7,192919.0,146613.0,796762.0,Dem,46306.0,13.63818432430522
8,142286.0,185710.0,742378.0,GOP,-43424.0,-13.2391858437298
9,208369.0,143814.0,825901.0,Dem,64555.0,18.329959140560447
10,160511.0,160510.0,678437.0,Dem,1.0,0.0003115061008469851
11,102341.0,188947.0,688201.0,GOP,-86606.0,-29.73208645738925
12,234698.0,115614.0,901443.0,Dem,119084.0,33.99369704720364
13,236681.0,175771.0,849131.0,Dem,60910.0,14.767779038530543
14,108540.0,180717.0,696047.0,GOP,-72177.0,-24.952550845787655
15,210700.0,44871.0,569861.0,Dem,165829.0,64.88568734324318
16,172231.0,54816.0,686084.0,Dem,117415.0,51.71396230736367
