district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,201452.0,148890.0,793875.0,Dem,52562.0,15.003054158507972
1,248531.0,149607.0,904566.0,Dem,98924.0,24.84666120792288
2,129480.0,169269.0,665867.0,GOP,-39789.0,-13.318538304730726
3,229496.0,167288.0,852057.0,Dem,62208.0,15.678051534336063
4,176768.0,212721.0,866590.0,GOP,-35953.0,-9.230812680204062
5,97865.0,227309.0,788654.0,GOP,-129444.0,-39.80761069458198
6,234048.0,49673.0,648807.0,Dem,184375.0,64.98461516771758
7,220211.0,63288.0,808195.0,Dem,156923.0,55.352223464633035
8,177187.0,66291.0,768023.0,Dem,110896.0,45.546620228521675
9,163823.0,74455.0,598770.0,Dem,89368.0,37.50577057051008
10,90323.0,150353.0,543578.0,GOP,-60030.0,-24.94224600708006
11,127615.0,240727.0,787863.0,GOP,-113112.0,-30.708417720488022
12,159669.0,159669.0,797494.0,GOP,0.0,0.0
13,60601.0,186727.0,532474.0,GOP,-126126.0,-50.995439254754814
14,202070.0,158914.0,790131.0,Dem,43156.0,11.955100503069389
15,226971.0,44934.0,870322.0,Dem,182037.0,66.94875048270535
16,83059.0,247269.0,793520.0,GOP,-164210.0,-49.711196144438254
